mls,campus_number,school_district,school,rating
4117192,101912058,HOUSTON ISD,GREGORY-LINCOLN ELEMENTARY,D
4117192,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
4125589,101912241,HOUSTON ISD,SINCLAIR ELEMENTARY,B
4125589,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
4139792,101912254,HOUSTON ISD,WESLEY ELEMENTARY,D
4139792,101912016,HOUSTON ISD,WASHINGTON B T HIGH SCHOOL,C
4244305,101912241,HOUSTON ISD,SINCLAIR ELEMENTARY,B
4244305,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
4356653,101912299,HOUSTON ISD,MILNE ELEMENTARY,C
4356653,101912023,HOUSTON ISD,SHARPSTOWN HIGH SCHOOL,C
4385377,101912170,HOUSTON ISD,HELMS ELEMENTARY,B
4385377,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
4448315,101912154,HOUSTON ISD,FOSTER ELEMENTARY,A
4448315,101912020,HOUSTON ISD,YATES HIGH SCHOOL,D
4449267,101912116,HOUSTON ISD,BRIARGROVE ELEMENTARY,B
4449267,101912009,HOUSTON ISD,WISDOM HIGH SCHOOL,C
4453610,101912221,HOUSTON ISD,POE ELEMENTARY,B
4453610,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
4484698,101912215,HOUSTON ISD,PARKER ELEMENTARY,A
4484698,101912017,HOUSTON ISD,WESTBURY HIGH SCHOOL,C
4548910,101912189,HOUSTON ISD,KOLTER ELEMENTARY,A
4548910,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
4581463,101912116,HOUSTON ISD,BRIARGROVE ELEMENTARY,B
4581463,101912009,HOUSTON ISD,WISDOM HIGH SCHOOL,C
4645005,101912228,HOUSTON ISD,RIVER OAKS ELEMENTARY,A
4645005,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
4663442,101912224,HOUSTON ISD,RED ELEMENTARY,B
4663442,101912017,HOUSTON ISD,WESTBURY HIGH SCHOOL,C
4676108,101912204,HOUSTON ISD,MEMORIAL ELEMENTARY,A
4676108,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
4678779,101912239,HOUSTON ISD,SHEARN ELEMENTARY,C
4678779,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
4696265,101912259,HOUSTON ISD,WILSON MONTESSORI,C
4696265,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
4760271,101912256,HOUSTON ISD,WHARTON K-8 DUAL LANGUAGE ACADEMY,B
4760271,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
4781198,101912263,HOUSTON ISD,LAW ELEMENTARY,C
4781198,101912019,HOUSTON ISD,WORTHING HIGH SCHOOL,C
4839631,101912253,HOUSTON ISD,WALNUT BEND ELEMENTARY,C
4839631,101912036,HOUSTON ISD,WESTSIDE HIGH SCHOOL,B
4909411,101912192,HOUSTON ISD,LANTRIP ELEMENTARY,C
4909411,101912001,HOUSTON ISD,AUSTIN HIGH SCHOOL,C
4944117,101912275,HOUSTON ISD,BUSH ELEMENTARY,A
4944117,101912036,HOUSTON ISD,WESTSIDE HIGH SCHOOL,B
5020088,101912182,HOUSTON ISD,JEFFERSON ELEMENTARY,B
5020088,101912003,HOUSTON ISD,NORTHSIDE HIGH SCHOOL,C
5045112,101912204,HOUSTON ISD,MEMORIAL ELEMENTARY,A
5045112,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
5069007,101912130,HOUSTON ISD,CONDIT ELEMENTARY,A
5069007,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
5199344,101912383,HOUSTON ISD,DEANDA ELEMENTARY,A
5199344,101912014,HOUSTON ISD,STERLING HIGH SCHOOL,C
5229819,101912196,HOUSTON ISD,LONGFELLOW ELEMENTARY,B
5229819,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
5232451,101912125,HOUSTON ISD,BURRUS ELEMENTARY,C
5232451,101912016,HOUSTON ISD,WASHINGTON B T HIGH SCHOOL,C
5232947,101912116,HOUSTON ISD,BRIARGROVE ELEMENTARY,B
5232947,101912009,HOUSTON ISD,WISDOM HIGH SCHOOL,C
5249605,101912156,HOUSTON ISD,FROST ELEMENTARY,B
5249605,101912014,HOUSTON ISD,STERLING HIGH SCHOOL,C
5271450,101912228,HOUSTON ISD,RIVER OAKS ELEMENTARY,A
5271450,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
5275914,101912221,HOUSTON ISD,POE ELEMENTARY,B
5275914,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
5279785,101912479,HOUSTON ISD,SHADYDALE ELEMENTARY,C
5279785,101912477,HOUSTON ISD,NORTH FOREST HIGH SCHOOL,D
5286984,101912130,HOUSTON ISD,CONDIT ELEMENTARY,A
5286984,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
5293266,101912221,HOUSTON ISD,POE ELEMENTARY,B
5293266,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
5294443,101912221,HOUSTON ISD,POE ELEMENTARY,B
5294443,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
5326760,101912192,HOUSTON ISD,LANTRIP ELEMENTARY,C
5326760,101912001,HOUSTON ISD,AUSTIN HIGH SCHOOL,C
5340360,101912135,HOUSTON ISD,CROCKETT ELEMENTARY,A
5340360,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
5350767,101912204,HOUSTON ISD,MEMORIAL ELEMENTARY,A
5350767,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
5384724,101912396,HOUSTON ISD,RAY DAILY ELEMENTARY,B
5384724,101912036,HOUSTON ISD,WESTSIDE HIGH SCHOOL,B
5449731,101912249,HOUSTON ISD,TRAVIS ELEMENTARY,A
5449731,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
5464114,101912213,HOUSTON ISD,OSBORNE ELEMENTARY,F
5464114,101912016,HOUSTON ISD,WASHINGTON B T HIGH SCHOOL,C
5467901,101912264,HOUSTON ISD,MITCHELL ELEMENTARY,C
5467901,101912014,HOUSTON ISD,STERLING HIGH SCHOOL,C
5562406,101912110,HOUSTON ISD,BLACKSHEAR ELEMENTARY,C
5562406,101912020,HOUSTON ISD,YATES HIGH SCHOOL,D
5671570,101912255,HOUSTON ISD,WEST UNIVERSITY ELEMENTARY,A
5671570,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
5747651,101912252,HOUSTON ISD,WAINWRIGHT ELEMENTARY,D
5747651,101912024,HOUSTON ISD,SCARBOROUGH HIGH SCHOOL,C
5759334,101912157,HOUSTON ISD,GARDEN OAKS MONTESSORI,C
5759334,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
5881027,101912125,HOUSTON ISD,BURRUS ELEMENTARY,C
5881027,101912016,HOUSTON ISD,WASHINGTON B T HIGH SCHOOL,C
5883857,101912124,HOUSTON ISD,BURNET ELEMENTARY,B
5883857,101912018,HOUSTON ISD,WHEATLEY HIGH SCHOOL,F
5909989,101912199,HOUSTON ISD,LOVETT ELEMENTARY,B
5909989,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
5910623,101912106,HOUSTON ISD,ATHERTON ELEMENTARY,A
5910623,101912018,HOUSTON ISD,WHEATLEY HIGH SCHOOL,F
5918938,101912121,HOUSTON ISD,BRUCE ELEMENTARY,D
5918938,101912018,HOUSTON ISD,WHEATLEY HIGH SCHOOL,F
5990401,101912299,HOUSTON ISD,MILNE ELEMENTARY,C
5990401,101912023,HOUSTON ISD,SHARPSTOWN HIGH SCHOOL,C
6123855,101912292,HOUSTON ISD,CARRILLO ELEMENTARY,B
6123855,101912001,HOUSTON ISD,AUSTIN HIGH SCHOOL,C
6130766,101912192,HOUSTON ISD,LANTRIP ELEMENTARY,C
6130766,101912018,HOUSTON ISD,WHEATLEY HIGH SCHOOL,F
6136845,101912475,HOUSTON ISD,ELMORE ELEMENTARY,C
6136845,101912007,HOUSTON ISD,KASHMERE HIGH SCHOOL,C
6155891,101912204,HOUSTON ISD,MEMORIAL ELEMENTARY,A
6155891,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
6161813,101912192,HOUSTON ISD,LANTRIP ELEMENTARY,C
6161813,101912018,HOUSTON ISD,WHEATLEY HIGH SCHOOL,F
6205557,101912157,HOUSTON ISD,GARDEN OAKS MONTESSORI,C
6205557,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
6280685,101912157,HOUSTON ISD,GARDEN OAKS MONTESSORI,C
6280685,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
6372235,101912192,HOUSTON ISD,LANTRIP ELEMENTARY,C
6372235,101912018,HOUSTON ISD,WHEATLEY HIGH SCHOOL,F
6454114,101912275,HOUSTON ISD,BUSH ELEMENTARY,A
6454114,101912036,HOUSTON ISD,WESTSIDE HIGH SCHOOL,B
6478232,101912175,HOUSTON ISD,HOBBY ELEMENTARY,D
6478232,101912010,HOUSTON ISD,MADISON HIGH SCHOOL,C
6482680,101912204,HOUSTON ISD,MEMORIAL ELEMENTARY,A
6482680,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
6629270,101912170,HOUSTON ISD,HELMS ELEMENTARY,B
6629270,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
6675750,101912259,HOUSTON ISD,WILSON MONTESSORI,C
6675750,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
6725950,101912274,HOUSTON ISD,ASKEW ELEMENTARY,C
6725950,101912036,HOUSTON ISD,WESTSIDE HIGH SCHOOL,B
6833493,101912249,HOUSTON ISD,TRAVIS ELEMENTARY,A
6833493,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
6836461,101912241,HOUSTON ISD,SINCLAIR ELEMENTARY,B
6836461,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
6842063,101912204,HOUSTON ISD,MEMORIAL ELEMENTARY,A
6842063,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
6905334,101912259,HOUSTON ISD,WILSON MONTESSORI,C
6905334,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
6958708,101912058,HOUSTON ISD,GREGORY-LINCOLN ELEMENTARY,D
6958708,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
6979270,101912125,HOUSTON ISD,BURRUS ELEMENTARY,C
6979270,101912016,HOUSTON ISD,WASHINGTON B T HIGH SCHOOL,C
7020523,101912241,HOUSTON ISD,SINCLAIR ELEMENTARY,B
7020523,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
7026834,101912137,HOUSTON ISD,DE CHAUMES ELEMENTARY,B
7026834,101912310,HOUSTON ISD,HOUSTON MATH SCIENCE AND TECHNOLOG,C
7079311,101912198,HOUSTON ISD,LOVE ELEMENTARY,C
7079311,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
7098707,101912224,HOUSTON ISD,RED ELEMENTARY,B
7098707,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
7105494,101907124,CYPRESS-FAIRBANKS ISD,FIEST ELEMENTARY,B
7105494,101907007,CYPRESS-FAIRBANKS ISD,CYPRESS FALLS HIGH SCHOOL,B
7221693,101912256,HOUSTON ISD,WHARTON K-8 DUAL LANGUAGE ACADEMY,B
7221693,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
7249542,101912198,HOUSTON ISD,LOVE ELEMENTARY,C
7249542,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
7256439,101912255,HOUSTON ISD,WEST UNIVERSITY ELEMENTARY,A
7256439,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
7270412,101912221,HOUSTON ISD,POE ELEMENTARY,B
7270412,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
7344983,101912228,HOUSTON ISD,RIVER OAKS ELEMENTARY,A
7344983,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
7374020,101912157,HOUSTON ISD,GARDEN OAKS MONTESSORI,C
7374020,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
7386502,101912204,HOUSTON ISD,MEMORIAL ELEMENTARY,A
7386502,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
7428127,101912115,HOUSTON ISD,DURHAM ELEMENTARY,C
7428127,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
7476296,101912169,HOUSTON ISD,HARVARD ELEMENTARY,A
7476296,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
7500626,101912188,HOUSTON ISD,KENNEDY ELEMENTARY,C
7500626,101912016,HOUSTON ISD,WASHINGTON B T HIGH SCHOOL,C
7522640,101912178,HOUSTON ISD,HORN ELEMENTARY,A
7522640,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
7549366,101912221,HOUSTON ISD,POE ELEMENTARY,B
7549366,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
7613817,101912253,HOUSTON ISD,WALNUT BEND ELEMENTARY,C
7613817,101912036,HOUSTON ISD,WESTSIDE HIGH SCHOOL,B
7631346,101912240,HOUSTON ISD,SHERMAN ELEMENTARY,C
7631346,101912003,HOUSTON ISD,NORTHSIDE HIGH SCHOOL,C
7644883,101912255,HOUSTON ISD,WEST UNIVERSITY ELEMENTARY,A
7644883,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
7847350,101912204,HOUSTON ISD,MEMORIAL ELEMENTARY,A
7847350,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
7870166,101912174,HOUSTON ISD,HIGHLAND HTS ELEMENTARY,D
7870166,101912016,HOUSTON ISD,WASHINGTON B T HIGH SCHOOL,C
7970739,101912152,HOUSTON ISD,FIELD ELEMENTARY,A
7970739,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
8004511,101912173,HOUSTON ISD,HEROD ELEMENTARY,A
8004511,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
8096318,101912170,HOUSTON ISD,HELMS ELEMENTARY,B
8096318,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
8157602,101912204,HOUSTON ISD,MEMORIAL ELEMENTARY,A
8157602,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
8197773,101912259,HOUSTON ISD,WILSON MONTESSORI,C
8197773,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
8277605,101912140,HOUSTON ISD,DOGAN ELEMENTARY,C
8277605,101912018,HOUSTON ISD,WHEATLEY HIGH SCHOOL,F
8288835,101912211,HOUSTON ISD,OAK FOREST ELEMENTARY,A
8288835,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
8302616,101912287,HOUSTON ISD,CAGE ELEMENTARY,B
8302616,101912001,HOUSTON ISD,AUSTIN HIGH SCHOOL,C
8331063,101912204,HOUSTON ISD,MEMORIAL ELEMENTARY,A
8331063,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
8346129,101912259,HOUSTON ISD,WILSON MONTESSORI,C
8346129,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
8392035,101912241,HOUSTON ISD,SINCLAIR ELEMENTARY,B
8392035,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
8430284,101912255,HOUSTON ISD,WEST UNIVERSITY ELEMENTARY,A
