"Campus
Number",School,District,# of Consecutive Years Campus is Academically Unacceptable,Campus 2019 Rating
101912098,STEVENSON MIDDLE,HOUSTON ISD,0,B
101912163,SUGAR GROVE ACADEMY,HOUSTON ISD,2,F
101912248,SUTTON EL,HOUSTON ISD,0,B
101912039,T H ROGERS SCHOOL,HOUSTON ISD,0,A
101912068,TANGLEWOOD MIDDLE,HOUSTON ISD,0,B
101912100,TEXAS CONNECTIONS ACADEMY AT HOUST,HOUSTON ISD,0,C
101912077,THOMAS MIDDLE,HOUSTON ISD,1,F
101912243,THOMPSON EL,HOUSTON ISD,0,C
101912279,TIJERINA EL,HOUSTON ISD,0,A
101912374,TINSLEY EL,HOUSTON ISD,0,B
101912249,TRAVIS EL,HOUSTON ISD,0,A
101912328,TSU CHARTER LAB SCH,HOUSTON ISD,0,B
101912251,TWAIN EL,HOUSTON ISD,0,A
101912285,VALLEY WEST EL,HOUSTON ISD,0,C
101912252,WAINWRIGHT EL,HOUSTON ISD,0,D
101912253,WALNUT BEND EL,HOUSTON ISD,0,C
101912015,WALTRIP H S,HOUSTON ISD,0,C
101912016,WASHINGTON B T H S,HOUSTON ISD,0,C
101912056,WELCH MIDDLE,HOUSTON ISD,0,C
101912254,WESLEY EL,HOUSTON ISD,0,D
101912099,WEST BRIAR MIDDLE,HOUSTON ISD,0,A
101912255,WEST UNIVERSITY EL,HOUSTON ISD,0,A
101912017,WESTBURY H S,HOUSTON ISD,0,C
101912036,WESTSIDE H S,HOUSTON ISD,0,B
101912256,WHARTON K-8 DUAL LANGUAGE ACADEMY,HOUSTON ISD,0,B
101912018,WHEATLEY H S,HOUSTON ISD,7,F
101912257,WHIDBY EL,HOUSTON ISD,1,F
101912267,WHITE E EL,HOUSTON ISD,0,B
101912258,WHITTIER EL,HOUSTON ISD,0,B
101912082,WILLIAMS MIDDLE,HOUSTON ISD,1,F
101912259,WILSON MONTESSORI,HOUSTON ISD,0,C
101912260,WINDSOR VILLAGE EL,HOUSTON ISD,0,B
101912009,WISDOM H S,HOUSTON ISD,0,C
101912127,WOODSON SCHOOL,HOUSTON ISD,0,B
101912019,WORTHING H S,HOUSTON ISD,0,C
101912020,YATES H S,HOUSTON ISD,0,D
101912247,YOUNG EL,HOUSTON ISD,1,F
101912392,YOUNG LEARNERS,HOUSTON ISD,0,A
101912371,YOUNG SCHOLARS ACADEMY FOR EXCELLE,HOUSTON ISD,0,D
101912463,YOUNG WOMEN'S COLLEGE PREP ACADEMY,HOUSTON ISD,0,A
